名称	含油率%
AD1Tx2090	17.19
AD1Tx2090	16.665
AD1Tx2090	17.162
AD4     15C	15.009
AD4     15C	15.32
AD4     15C	14.716
AD4     WD400	15.826
AD4     WD400	15.873
AD4     WD400	15.782
AD1     BPS1152	13.403
AD1     BPS1152	13.673
AD1     BPS1152	13.431
AD5    CB3087	15.244
AD5    CB3087	14.838
AD5    CB3087	14.708
AD1    NAU	21.453
AD1    NAU	20.667
AD1    NAU	21.492
AD2   GPS52	20.378
AD2   GPS52	18.08
AD2   GPS52	19.22
AD2   GPS52	19.09
中棉113	14.011
中棉113	14.394
中棉113	14.737
AD5    NAU	19.38
AD5    NAU	18.903
AD5    NAU	18.832
AD2   PS7A	16.757
AD2   PS7A	14.395
AD2   PS7A	13.753
AD1     TM-1	22.955
AD1     TM-1	22.483
AD1     TM-1	21.653
AD2    NAU	21.437
AD2    NAU	20.18
AD2    NAU	21.195
AD4     PI	16.463
AD4     PI	17.268
AD4     PI	17.395
AD1     Tx2094	22.265
AD1     Tx2094	22.543
AD1     Tx2094	21.971
AD1     BPS1149	14.757
AD1     BPS1149	14.641
AD1     BPS1149	14.443
AD5    达尔文07	20.604
AD5    达尔文07	20.661
AD5    达尔文07	20.314
AD2     K101	15.587
AD2     K101	14.502
AD2     K101	14.213
AD3    Kahoolawe	15.613
AD3    Kahoolawe	15.976
AD3    Kahoolawe	16.381
